Food,Region,Type,Category,Allergy,Serving,Total Weight (gms),Energy(kcal),Proteins,Carbohydrates,Fats,Fiber,Carbon Footprint(kg/CO2),Ingredients
Chicken Greek Salad,Continental,"Lunch,Dinner",Non-veg,no-allergies,1 small bowl,83,152,15,9,5,6,0.0897,"Chicken, poultry, breast, skinless - 1 gms; GARLIC, dry - 0.5 tbsp; Common salt - 1 tbsp; Pepper, black - 1 tbsp; CUCUMBER - 1 gms; Tomato, ripe, local - 1 gms; Capsicum, green - 1 gms; Lettuce - 30 gms; Lemon, juice - 5 gms; Garlic, small clove - 0.5 tbsp"
Lettuce Avocado Salad,Continental,"Lunch,Dinner",Vegan,no-allergies,1 small bowl,57,128,4,9,7,6,0.1077,"LETTUCE TREE LEAVES, mature - 1 gms; Avocado fruit - 1 gms; CUCUMBER - 1 gms; CURDS (cow milk) - 10 gms; Lemon, juice - 5 gms; Coriander leaves - 2 gms; Chillies, green-1 - 1 gms; Cumin seeds - 0.5 tbsp; Common salt - 1 tbsp; Pepper, black - 1 tbsp"
Almond coriander soup,Continental,"Lunch,Dinner",Veg,no-allergies,1 medium bowl,216,157,3,4,14,2,0.1964,"Coriander leaves - 10 gms; Ginger, fresh - 1 gms; Common salt - 0.25 tbsp; Onion, small - 1 small katori; Plain Water - 1 medium cup; Pepper, black - 0.25 pinch; oilve Oil - 1 tbsp; Almond (Soaked and Peeled) - 10 pieces"
Lemon rice soup,Continental,"Lunch,Dinner",Veg,no-allergies,1 medium bowl,101,239,7,42,3,6,0.2375,"Mustard seeds - 5 gms; Cumin seeds - 5 gms; Ginger, fresh - 1 gms; Chillies, green-1 - 1 gms; Curry leaves - 10 gms; Lemon, juice - 1 tbsp; Common salt - 1 tbsp; Asafoetida - 1 pinch; Rice, raw, milled - 50 gms"
Bathua raita,North,"Lunch, Snacks",Veg,dairy allergy,1 medium katori,212,98,6,7,4,5,0.3165,Bathua leaves - 100 gms; CURDS (cow milk) - 100 gms; Mint leaves - 5 gms; Cumin seeds - 0.5 tbsp
Nuts and seeds salad,Continental,"Lunch,Dinner",Vegan,nut allergy,1 medium bowl,629,1385,40,28,125,16,1.69275,"Almond - 25 gms; Fig - 25 gms; PUMPKIN SEED - 30 gms; Sunflower seeds - 30 gms; Lemon, juice - 10 gms; LETTUCE TREE LEAVES, mature - 4 gms; CUCUMBER - 1 small; Common salt - 1 tbsp; Pepper, black - 1 tbsp; Walnut - 25 Pieces"
Samakiya Rice,South,"Lunch,Dinner",Non-veg,fish allergy,1 medium katori,150,180,3,37,1,4,0.45,Samakhia Rice - 1 small bowl; Plain Water - 1 small glass
Dal peetha,East,"Lunch,Dinner",Veg,gluten allergy,4 gms,404,239,9,39,5,8,0.5095,"Wheat flour, atta - 200 gms; Black gram, dal - 50 gms; Cumin seeds - 1 tbsp; Tomato, ripe, local - 1 medium; Ginger, fresh - 4 gms; Chillies, red - 2 number; Mustard oil - 1 tbsp"
Rice flour laddu,South,Snacks,Veg,no-allergies,4 gms,305,331,6,52,11,3,1.0385,"Rice, raw, milled - 250 gms; COCONUT,dry - 50 gms; Cardamom, green - 5 gms; Ghee - 10 ml"
Sugarcane kheer,North,"Lunch,Dinner",Veg,dairy allergy,4 gms,180,150,4,31,2,1,0.6515,"Rice, raw, milled - 150 gms; Almond - 5 number; Cashew nut - 10 gms; Sugarcane, juice - 1 tbsp"
Thekua,East,"Lunch,Dinner",Veg,no-allergies,15 gms,386,91,2,15,2,2,0.368,"Wheat flour, atta - 300 gms; Jaggery, cane - 40 gms; Cardamom, green - 8 number; Ghee - 2 tbsp"
Oats milk,"North,South,East,West","Breakfast,Drinks",Veg,no-allergies,3 glass,94,114,4,20,2,3,0.0004,Plain Water - 3 large glass; Rolled Oats - 6 Tbsp; Common salt - 0.25 tbsp
Coffee with Almond Milk (No Sugar),"North,South,East,West","Breakfast,Drinks",Vegan,nut allergy,1 glass,265,48,1,2,3,0,1.1225,Almond Milk - 1 medium glass; coffee powder - 1 tbsp
Cooked Foxtail Millets,South,"Lunch,Dinner",Veg,no-allergies,1 medium katori,150,150,0,0,0,0,0,Millets (Foxtail) - 150 g; Plain Water - 1 medium cup
Cooked kuddo Millets,South,"Lunch,Dinner",Veg,no-allergies,1 medium katori,150,43,1,9,0,1,0,Plain Water - 1 medium cup; Millet Pulao (Kudo) - 1 small bowl
Rice Noodles,Continental,"Lunch,Dinner",Veg,no-allergies,1 medium katori,165,59,1,6,3,1,0.6015,Rice Noodles - 1 small bowl; Plain Water - 1 medium glass; Common salt - 1 tbsp
Almond Flour Roti,North,"Lunch,Dinner",Veg,nut allergy,5 medium,522,149,4,4,13,2,0.4907,Plain Water - 1 medium glass; Almond flour - 2 cup; Common salt - 0.5 tbsp; oilve Oil - 1 tbsp
Spinach and Walnut Raita,Continental,Snacks,Veg,dairy allergy,4 medium katori,326,140,5,7,11,3,0.2915,Cumin seeds - 1 tbsp; Common salt - 1 tbsp; Plain Yogurt - 1 tbsp; SPINACH - 1 cup; Walnut - 1 Pieces; Coriander Powder - 1 1 tsp; Red chilli Power - 1 tbsp
Cashew Milk,"North,South,East,West","Breakfast,Drinks",Veg,nut allergy,3 cup,550,292,9,13,23,2,2.09,Cashew nut - 1 cup; Plain Water - 3 large glass
MILLET CHEELA,North,"Lunch,Dinner",Veg,no-allergies,1 small bowl,128,119,1,15,4,2,0.0937,"Millets (Foxtail) - 3 tbsp; Plain Water - 1 small glass; Onion Finely Chopped - 0.5 small onion; Chopped Carrot - 0.5 medium; Spinach Vegetable - 0.25 Small Bowl; CORIANDER LEAVES - 0.25 small bowl; CHILLIES, green - 0.5 tbsp; CUMIN SEEDS - 0.5 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 0.5 tbsp; Common salt - 0.5 tbsp"
HOMEMADE PANEER,North,"Lunch,Dinner",Veg,dairy allergy,1 gms,60,20,0,1,1,0,0.0645,Milk - 1 tbsp; VINEGAR - 3 tbsp
Quinoa Cheela,West,Breakfast,Veg,no-allergies,1 medium,443,517,17,81,12,10,0.6623,"Onion, small - 1 tbsp; Capsicum, green - 1 tbsp; Carrot, red - 1 tbsp; Chillies, green-1 - 1 gms; Coriander leaves - 0.5 tbsp; Cumin seeds - 0.25 tbsp; Chillies, red - 0.5 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Common salt - 1 tbsp; Quinoa Flour - 1 medium bowl"
Oats Dalia,North,"Lunch,Dinner",Vegan,no-allergies,1 medium katori,119,107,2,9,6,6,0.19675,"Onion, small - 1 tbsp; PEAS green - 1 tbsp; CARROT - 1 tbsp; French beans, country - 1 tbsp; Cumin seeds - 1 tbsp; Turmeric powder - 0.5 tbsp; CHILLIES, dry - 0.5 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Common salt - 1 tbsp"
Egg White Sandwich,Continental,Breakfast,Eggetarian,egg allergy,1 medium,199,231,13,30,7,5,0.1932,"Egg white - 2 medium; Whole Wheat Bread - 2 slices (3 inch); oilve Oil - 1 tbsp; Black Pepper - 0.5 tbsp; Common salt - 0.5 tbsp; Cherry Tomatoes - 0.5 small cup; ONION, small - 0.25 small bowl; Fresh Coriander Leaves (chopped) - 1 tbsp"
Dal Tikki,North,"Lunch,Dinner",Veg,no-allergies,2 number,356,143,3,10,10,3,0.26655,"Channa Dal - 0.5 cup; POTATO - 1 small; Coriander leaves - 0.5 tbsp; MANGO POWDER - 0.5 tbsp; Cumin seeds - 0.25 tbsp; Coriander seeds - 0.25 tbsp; Chillies, red powder - 0.25 tbsp; Common salt - 1 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp"
Herb Paneer,North,Snacks,Veg,dairy allergy,4 number,129,14,1,1,1,1,0.2406,"VINEGAR - 3 tbsp; Capsicum, green - 3 tbsp; Coriander leaves - 0.5 tbsp; Mint leaves - 0.5 tbsp; Pepper, black - 1 tbsp; Herbed Paneer - 1 Small piece"
Paneer Kebab,North,Snacks,Veg,dairy allergy,2 medium,91,141,2,5,4,3,0.0861,"Paneer - 50 g; POTATO - 1 gms; GINGER, fresh - 0.5 tbsp; Mint leaves - 0.25 tbsp; Coriander leaves - 1 tbsp; Cumin seeds powder - 1 tbsp; Black Pepper Powder - 1 pinch; Common salt - 1 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp"
Egg white Boiled,Continental,Breakfast,Eggetarian,egg allergy,2 medium,160,69,7,0,5,0,0.594,"Egg, poultry, whole, raw - 2 medium; VINEGAR - 1 tbsp; Common salt - 1 tbsp"
Soya wrap,Continental,"Lunch,Dinner",Vegan,soy allergy,1 medium,1003,246,16,29,6,15,0.924,"Lettuce - 60 gms; Tomato, ripe, local - 1 cup; CUCUMBER - 1 cup; Capsicum, green - 1 cup; Cumin seeds - 0.25 tbsp; CHILLIES, dry - 0.25 tbsp; Common salt - 1 tbsp; PEPPER, dry - 1 tbsp; Lemon, juice - 5 ml; Soya (Nutri) Matar - 1 small bowl"
Coffee Expresso (Skimmed milk),Continental,Drinks,Veg,dairy allergy,1 cup,265,80,6,11,0,0,0.9475,"SKIMMED MILK, liquid - 1 cup; coffee powder - 1 tbsp"
"Tea (ginger, Tulsi, cardamon, cinnamon sticks, black pepper)","North,South,East,West","Breakfast,Drinks",Veg,no-allergies,1 cup,910,369,14,31,21,0,2.52,"Plain Water - 1 large cup; Ginger, fresh - 1 slice; Milk - 3.5 medium cup"
Greek Salad,Continental,"Lunch,Dinner",Veg,dairy allergy,1 small bowl,170,128,2,9,1,4,0.1865,"CUCUMBER - 50 gms; Tomato, ripe, local - 50 gms; Capsicum, green - 25 gms; Paneer - 20 g; VINEGAR - 1 tbsp; Common salt - 1 tbsp; PEPPER, dry - 1 tbsp"
Spinach Salad,Continental,"Lunch,Dinner",Veg,no-allergies,1 small bowl,184,209,2,9,21,2,0.1677,"SPINACH stalks - 50 gms; CUCUMBER - 20 gms; Sunflower Seeds - 10 g; Pumpkin Seeds - 2 tbsp; Lemon, juice - 1 tbsp; Common salt - 0.5 tbsp; Pepper, black - 0.5 tbsp; Onion Finely Chopped - 0.5 small onion; chopped tomato - 0.5 small tomato; Extra-Virgin oilve Oil - 0.5 1 tbsp"
Mexican Avocado Dip,Continental,Snacks,Veg,no-allergies,2 tbsp,271,90,2,6,8,5,0.27085,"Avocado - 1 small; Tomato, ripe, local - 30 gms; Coriander leaves - 10 gms; Common salt - 1 tbsp; Pepper, black - 1 tbsp"
JAWAR STUFFED ROTI (Aloo),North,"Lunch,Dinner",Veg,no-allergies,1 medium,52,57,0,2,5,0,0.0688,"Onion, small - 1 tbsp; Chillies, green-1 - 1 gms; Coriander leaves - 0.5 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Common salt - 1 tbsp"
Apple Walnut Salad,Continental,"Lunch,Dinner",Veg,nut allergy,1 small bowl,177,338,6,9,13,5,0.0956,"Apple - 150 g; Pomegranate, maroon seeds - 20 gms; Lemon, juice - 0.5 tbsp; Common salt - 1 tbsp; PEPPER, dry - 1 tbsp; Lettuce - 60 gms; Spinach - 60 gms"
Dalcheeni Water,"North,South,East,West",Snacks,Veg,cinnamon allergy,1 glass,5,0,0,0,0,0,0.0175,CINNAMOM - 1 number; Plain Water - 1 large glass
Aam Ras,"North,South,East,West","Breakfast,Drinks",Vegan,no-allergies,1 glass,400,208,7,26,8,1,0.8275,MANGO RIPE - 2 slice; MILK (cow) - 1 cup
Hariyali Tikka Veg,North,Snacks,Veg,dairy allergy,3 number,245,104,4,3,8,1,0.6545,"MUSHROOM - 1 tbsp; Cauliflower - 1 tbsp; Capsicum, green - 1 tbsp; Zucchini, green - 1 tbsp; Paneer - 50 gms; CURDS (cow milk) - 1 tbsp; Coriander leaves - 2 tbsp; Mint leaves - 1 tbsp; Spinach - 2 tbsp; Lemon, juice - 1 tbsp; Common salt - 1 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp"
Lactose Free Milk Coffee With Brown Sugar,"North,South,East,West","Breakfast,Drinks",Veg,dairy allergy,1 cup,390,200,7,12,4,0,2.8,Lactose free milk Amul - 1 cup; Brown sugar - 1 tbsp; Brewed Coffee - 0.5 cup
Skimmed Milk Coffee Without Sugar,"North,South,East,West","Breakfast,Drinks",Veg,dairy allergy,1 cup,382,74,6,12,0,1,2.787,"SKIMMED MILK, liquid - 1 cup; Brewed Coffee - 0.5 cup; Cinnamon Powder - 0.5 tbsp"
Lemon Coriander Soup,Continental,"Lunch,Dinner",Vegan,no-allergies,4 cup,111,20,0,1,2,1,0.1907,"Coriander leaves - 15 gms; Ginger, fresh - 1 gms; Garlic, small clove - 1 gms; Chillies, green-1 - 1 gms; Common salt - 1 tbsp; Plain Water - 4 large glass; Lemon, juice - 1 tbsp; oilve Oil - 1 tbsp; Onion Finely Chopped - 0.25 small onion; Coriander Powder - 1.5 tbsp"
APPLE STEW,Continental,Snacks,Veg,nut allergy,2 cup,893,143,1,37,1,5,0.10248,Apple - 4 small; Plain Water - 1 large glass; HONEY - 4 tbsp; CINNAMOM - 0.5 tbsp; NUTMEG - 0.25 tbsp; Ginger Powder - 0.5 tbsp; lemon juice - 1 tbsp
CARROT PUREE,Continental,Snacks,Veg,no-allergies,2 tbsp,40,7,0,2,0,0,0.016,CARROT - 0.5 medium
carrot beetroot puree,Continental,Snacks,Veg,no-allergies,3 tbsp,74,8,0,2,0,0,0.0262,CARROT - 0.5 medium; BEET ROOT - 0.25 medium
chicken stew,Continental,"Lunch,Dinner",Non-veg,no-allergies,4 tbsp,92,34,3,2,1,0,0.3862,"Chicken, poultry, breast, skinless - 0.25 cup; POTATO - 0.5 medium; CARROT - 0.25 medium; Peas, fresh - 0.25 small katori"
moong dal puree,North,Snacks,Veg,no-allergies,4 small katori,705,84,2,8,5,1,0.603,"Yellow Moong Dal - 1 small bowl; Carrot, orange - 1 medium; POTATO - 1 medium; TOMATO RIPE - 1 small; Onion Finely Chopped - 1 small onion; Garlic, small clove - 1 tbsp; GINGER, fresh - 1 tbsp; Cumin seeds - 1 tbsp; Turmeric powder - 1 tbsp; Common salt - 1 tbsp; Plain Water - 1 small glass; Coriander leaves - 1 tbsp; oilve Oil - 1 tbsp"
Mixed fruit salad,"North,South,East,West","Breakfast,Snacks",Veg,nut allergy,1 medium bowl,794,222,3,48,1,12,0.52525,Apple - 1 small; Pear - 1 small; Banana - 1 small; Grapes - 0.5 medium bowl; Strawberry - 0.5 small bowl; Blueberries - 0.5 small bowl; Mint leaves - 3 medium
Gujiya,"North,South,East,West",Snacks,Veg,dairy allergy,1 number,231,1192,15,126,68,14,0.18075,"Wheat flour, atta - 100 gms; Ghee - 15 gms; COCONUT,dry - 50 gms; Jaggery, cane - 50 gms; RAISINS - 15 gms; Cardamom, green - 1 gms; Sunflower oil - 20 ml"
Tawa Roti,"North,South,East,West","Lunch,Dinner",Veg,gluten allergy,2 number,101,192,7,39,1,7,0.1001,"Wheat flour, atta - 100 gms; Common salt - 1 gms"
Rice Dosa,South,Breakfast,Veg,no-allergies,1 medium,24,144,5,30,0,1,0.01165,Urad Dal Flour - 1 tbsp; Rice Flour - 0.25 small bowl; Common salt - 0.25 tbsp; Plain Water - 1 small glass
Basil Tomato Dip,Continental,Snacks,Veg,no-allergies,1 medium bowl,152,153,1,4,15,1,0.2648,TOMATO RIPE - 1 medium; oilve Oil - 1 tbsp; Lemon Water - 0.5 tbsp; Fresh basil leaves - 1 leaf
Suji Halwa,North,Snacks,Veg,nuts allergy,1 medium bowl,95,365,6,85,1,2,0.1275,Suji - 0.5 Small bowl; JAGGERY (cane) - 0.5 small; Plain Water - 1 medium cup; CARDAMOM - 1 tbsp
Quinoa Cutlet,Continental,"Lunch,Dinner,Snacks",Veg,no-allergies,1 medium,279,184,3,27,9,1,0.20375,"Quinoa - 0.5 small bowl; POTATO - 0.5 medium; CARROT - 1 small; Grren Beans Vegetable - 1 tbsp; Coriander leaves - 0.5 tbsp; Ginger, fresh - 0.25 gms; Cumin seeds - 0.25 tbsp; Red chilli Power - 0.5 tbsp; Common salt - 0.5 tbsp; oilve Oil - 0.25 tbsp; Garlic paste - 0.25 tbsp"
Rice kheer,North,Snacks,Veg,dairy allergy,1 medium katori,195,223,1,12,5,1,0.6735,"Milk - 2 ml; Rice - 0.5 medium bowl; Jaggery, cane - 0.5 gms; CARDAMOM - 0.5 medium; Ghee - 1 tbsp"
Broccoil with mix bell pepper Vegetable,Continental,Snacks,Veg,no-allergies,1 medium katori,732,929,34,102,37,67,1.1739,"Broccoil Capsicum Baby Corn Tofu Salad - 2 medium bowl; Pepper, black - 10 tbsp; PEPPER, green - 10 tbsp; ONION, small - 1 medium; Garlic, small clove - 2 gms; oilve Oil - 1 tbsp; Common salt - 1 tbsp"
Paneer Wrap(Cabbage Leaves),Continental,"Lunch,Dinner",Veg,dairy allergy,1 medium,136,679,27,50,39,13,0.3225,"Whole Wheat Tortilla - 1 tortilla; Paneer - 1 gms; Cabbage Vegetable - 2 g; Carrot, red - 1 gms; Onion, small - 1 gms; GINGER, fresh - 0.25 gms; Red chilli Power - 0.5 tbsp; CUMIN SEEDS - 0.25 tbsp; Coriander seeds - 1 tbsp; Common salt - 1 tbsp; oilve Oil - 1 tbsp"
Paneer Wrap(icebarg Leaves),Continental,"Lunch,Dinner",Veg,dairy allergy,1 medium,125,530,26,33,33,5,0.1909,"Whole Wheat Tortilla - 1 tortilla; HOMEMADE PANEER - 1 gm; Stuffed Bell Peppers - 0.5 number; Onion, small - 1 gms; TOMATILO - 1 gms; CUCUMBER - 1.5 gms; CUMIN SEEDS - 0.25 tbsp; CORIANDER - 1 gms; Common salt - 0.25 gms; oilve Oil - 1 tbsp"
Ragi Flour Cheela,South,"Lunch,Dinner",Veg,no-allergies,1 medium,169,370,5,50,15,4,0.2712,"RAGI - 60 gms; Onion, small - 30 gms; TREE TOMATO - 30 gms; Capsicum, green - 30 gms; CUMIN SEEDS - 2 gms; Common salt - 2 gms; Plain Water - 3 ml; oilve Oil - 1 tbsp"
Rice Flour Cheela,South,"Lunch,Dinner",Veg,no-allergies,1 medium,211,259,2,25,15,1,0.6626,Rice Flour - 1 small bowl; CUMIN SEEDS - 1 gms; CORIANDER - 1 gms; Turmeric powder - 1 gms; Red chilli Power - 1 tbsp; Common salt - 1 gms; Plain Water - 100 ml; oilve Oil - 1 tbsp
Shredded Chicken with Soya Sauce,Continental,Dinner,Non-veg,soy allergy,4 small bowl,405,220,22,7,13,0,1.98,"HONEY - 1 tbsp; Common salt - 1 tbsp; Chicken, poultry, breast, skinless - 2 medium; Soy sauce - 2 tbsp; Rice Vinegar - 1 tbsp; Sesame Oil - 1 tbsp; Garlic, small clove - 1 tbsp; Plain Water - 1 ml; Pepper, black - 1 pinch; Cornstarch - 1 tbsp"
Vegetable Juice(Cucumber+Ghiya+1 Carrot),"North,South,East,West",Drinks,Veg,no-allergies,1 medium bowl,95,67,3,13,0,5,0.0345,"CUCUMBER - 2 gms; Vegetable Juice (Cucumber + ghiya + 1 Carrot) - 1 Medium glass; Carrot, red - 1 gms"
Smoothie,Continental,Drinks,Veg,dairy allergy,1 glass,1194,265,15,23,13,1,1.60025,Mixed Fruits - 1 small bowl; Greek Yogurt - 1 small bowl; Milk - 1 medium glass
"VegShredded,Green Peas Mushroom Vegetable",Continental,"Lunch,Dinner",Vegan,no-allergies,1 medium katori,1113,360,13,46,11,12,1.5138,"CABBAGE - 1 cup; CARROT - 1 cup; PEAS green - 1 cup; MUSHROOM - 1 cup; ONION, big - 1 gms; Chillies, green-1 - 1 gms; Garlic paste - 1 tbsp; Cumin seeds - 1 tbsp; CORIANDER - 1 tbsp; Turmeric powder - 0.5 tbsp; Red chilli Power - 1 tbsp; Common salt - 1 tbsp; oilve Oil - 2 tbsp"
Lemon Rice Soup With Red Rice,Continental,"Lunch,Dinner",Vegan,no-allergies,4 small bowl,1647,154,2,19,10,2,0.3401,Red Rice Without Salt - 4 medium bowl; Plain Water - 6 large glass; Onion Finely Chopped - 1 small onion; clove garlic - 3 clove; CARROT - 0.5 cup; oilve Oil - 2 tbsp; CELERY STALK - 0.25 cup; lemon juice - 5 tbsp; Lemon Zest - 1 tbsp
Baingan Vegetable,North,"Lunch,Dinner",Veg,no-allergies,1 medium bowl,346,278,9,39,6,16,0.4495,"TREE TOMATO - 1 medium katori; Onion, small - 1 medium katori; Cloves - 1 gms; CUMIN SEEDS - 1 gms; Turmeric powder - 1 tbsp; Red chilli Power - 1 tbsp; CORIANDER - 1.5 tbsp; oilve Oil - 1 tbsp"
Missi Roti(1/3 Besan & 1/3 Wheat Atta & 1/3 Wheat Bran),North,"Lunch,Dinner",Veg,gluten allergy,1 medium,728,1494,55,264,27,59,0.6947,"Besan - 1 Cup; Wheat flour, atta - 1 cup; Wheat Bran Roti Without Oil - 1 medium; Onion, small - 1 medium; Carom seeds - 1 tbsp; Red chilli Power - 1 tbsp; CORIANDER - 1 gms; CUMIN SEEDS - 1 tbsp; Common salt - 0.5 tbsp; Plain Water - 1 small glass; oilve Oil - 1 tbsp"
Millets Cheela,North,"Lunch,Dinner",Veg,no-allergies,1 medium,271,233,3,20,16,3,0.2116,"Millets (Foxtail) Pulao - 1 small bowl; Plain Water - 1 ml; CARROT - 2 tbsp; ONION, small - 2 tbsp; Capsicum, green - 2 tbsp; Chillies, green-1 - 1 gms; CUMIN SEEDS - 1 tbsp; Common salt - 1 gms; oilve Oil - 1 tbsp"
Dry Matar Mushroom Vegetable,North,"Lunch,Dinner",Vegan,mushroom allergy,1 medium katori,459,315,17,40,6,13,1.0163,"Peas, dry - 0.25 cup; MUSHROOM - 0.5 medium katori; TOMATILO - 1 small katori; Cumin seeds - 1 tbsp; Turmeric powder - 1 tbsp; Coriander seeds - 1 tbsp; Red chilli Power - 1 tbsp; Common salt - 0.5 tbsp; oilve Oil - 1 tbsp; CORIANDER LEAVES - 1 tbsp"
Ragi Soup,Continental,"Lunch,Dinner",Vegan,no-allergies,2 medium bowl,543,230,4,34,8,4,0.4658,"Plain Water - 4 small cup; Onion, small - 1 medium bowl; Garlic, small clove - 2 number; CARROT - 1 medium; CELERY STALK - 1 small; Coriander seeds - 1 tbsp; CUMIN SEEDS - 1 tbsp; Turmeric powder - 0.25 tbsp; oilve Oil - 1 tbsp; Common salt - 0.5 tbsp; Ragi flour - 0.5 small cup"
Chicken Minced Salad,Continental,"Lunch,Dinner",Non-veg,nut allergy,2 medium bowl,420,114,1,9,8,3,0.5955,"oilve Oil - 1 tbsp; Common salt - 1 tbsp; Ground Chicken - 2 gram; Onion Finely Chopped - 1 medium onion; 1Tomatoes Chopped - 1 medium tomato; Chopped Cucumber - 1 slice (1/8 inch thick); Chopped Green Chilli - 1 tbsp; GINGER, fresh - 1 tbsp; Coriander Powder - 1 1 tsp; Garam Masala - 1 tbsp; Coriander leaves - 1 tbsp"
Saute Bell Pepper,Continental,"Lunch,Dinner",Vegan,nightshade allergy,1 small bowl,246,320,3,12,28,3,0.4311,"Stuffed Bell Peppers - 1 number; oilve Oil - 1 tbsp; Common salt - 1 tbsp; Garlic, small clove - 1 tbsp"
Open Sandwich with one slice,Continental,"Lunch,Dinner",Vegan,gluten allergy,1 slice,380,157,8,30,0,6,0.2174,"Whole Wheat Bread - 1 bread (3 inch); CARROT - 0.25 cup; Beet root - 0.25 cup; CUCUMBER - 0.25 cup; TREE TOMATO - 0.25 cup; ONION, small - 0.25 cup; Chillies, green-1 - 1 gms; Coriander leaves - 1 tbsp; Common salt - 1 tbsp; Chat Masala - 1 tbsp"
Fish Salad 1,Continental,"Lunch,Dinner",Non-veg,no-allergies,1 medium bowl,530,378,37,14,17,4,1.226,"Boneless Fish - 1 1 medium fillet; ONION, small - 1 small; chopped tomato - 1 small tomato; CUCUMBER - 1 small katori; Lemon, juice - 1 tbsp; Coriander Powder - 1 1 tsp; Red chilli Power - 1 tbsp; oilve Oil - 1 tbsp; CORIANDER LEAVES - 1 number"
Papaya Shake with Almond Milk,"North,South,East,West",Drinks,Veg,nut allergy,2 glass,850,78,2,3,7,3,2.0475,Papaya - 1 medium bowl; Almond Milk - 2 medium cup
50% Barley Atta & 50% Oats Atta Roti,North,"Lunch,Dinner",Veg,gluten allergy,1 number,250,367,12,70,4,14,0.2625,Barley Flour - 0.5 1/2 cup; Oats Flour - 0.5 1/2 cup
Brocoil Soup with coconut milk,"North,South,East,West","Lunch,Dinner",Veg,nut allergy,1 medium,885,191,1,14,15,1,0.1905,"Broccoli-1, Coconut milk-1 cup, oilve Oil - 1 tbsp; Onion Finely Chopped - 1 small onion; Garlic, small clove - 1 gms; POTATO - 1 medium"
Filter Coffee Without Sugar,"North,South,East,West","Breakfast,Drinks",Veg,caffeine allergy,2 glass,280,60,2,3,0,0,1.195,coffee powder - 2 tbsp; Plain Water - 2 small cup; Skimmed Milk Without Sugar - 1 small glass
Black Filter Coffee Without Sugar,"North,South,East,West","Breakfast,Drinks",Veg,caffeine allergy,2 cup,30,0,0,0,0,0,0.495,Plain Water - 2 small cup; Ground Coffee Powder - 2 tbsp
Pumpkin Soup,North,"Lunch,Dinner",Veg,dairy allergy,4 cup,970,82,4,10,3,1,1.3375,"PUMPKIN - 1 small; Onion Finely Chopped - 1 medium onion; Garlic, small clove - 1 tbsp; oilve Oil - 2 tbsp; Common salt - 1 tbsp; Vegetable Broth - 2 Small Bowl; Milk - 1 small glass"
Rice Flour Wrap with Tofu And Veggie,North,"Lunch,Dinner",Veg,soy allergy,2 medium,610,281,7,44,7,3,1.7505,"Rice Flour - 1 small bowl; Plain Water - 1 small cup; Common salt - 1 tbsp; Cumin seeds - 1 tbsp; Carom(Ajwain) Seeds - 1 tbsp; Red chilli Power - 1 tbsp; oilve Oil - 1 tbsp; Tofu - 1 medium bowl; Capsicum, green - 1 gms; ONION, small - 1 gms; CABBAGE - 1 gms; Coriander Powder - 1 1 tsp"
Apple Walnut Salad 2,Continental,"Snacks,Dinner",Veg,nut allergy,2 medium bowl,228,375,5,12,35,3,0.1492,"Apple, small - 1 medium; Walnut - 1 Pieces; oilve Oil - 1 tbsp; HONEY - 1 ml; Common salt - 1 pinch; Pepper, black - 1 gms"
Rice Flour Wrap with Chicken and Veggies,Continental,"Lunch,Dinner",Veg,no-allergies,4 medium,622,330,13,40,12,5,2.0184,"Rice Flour - 1 small bowl; Plain Water - 1.5 small cup; Common salt - 1 tbsp; oilve Oil - 1 tbsp; Baked Chicken Breast - 1 number; Onion, small - 1 gms; Stuffed Bell Peppers - 1 number; Ginger, fresh - 1 tbsp; Garlic paste - 1 tbsp; CORIANDER - 1 tbsp; Cumin seeds - 1 tbsp; Turmeric powder - 1 tbsp; Red chilli Power - 1 tbsp"
Masoor Dal Sambar,South,"Lunch,Dinner",Veg,no-allergies,4 small bowl,890,157,5,14,9,5,0.78325,Masoor Dal - 2 small bowl; CARROT - 0.25 large bowl; Broad beans - 1 medium katori; Drumstick - 0.25 cup; oilve Oil - 2 tbsp; Mustard seeds - 1 tbsp; CUMIN SEEDS - 1 tbsp; Fenugreek seeds - 1 tbsp; Onion Finely Chopped - 1 small onion; Turmeric powder - 0.5 tbsp; Common salt - 0.5 tbsp; Coriander leaves - 0.5 tbsp; Tamarind - 1 tbsp; Sambar Powder - 1 Tablespoon; Plain Water - 2 large glass; Brinjal Vegetable - 0.25 large brinjal
Moong Dal Tikki,North,Snacks,Veg,no-allergies,6 number,945,118,4,15,5,2,0.769,Moong Dal - 1 medium bowl; POTATO - 2 medium; Onion Finely Chopped - 1 small onion; Chopped Green Chilli - 2 tbsp; Coriander Powder - 1 1 tsp; Garam Masala - 1 tbsp; oilve Oil - 2 tbsp; Common salt - 1 tbsp
